18.1818181818,0.5,RMP,ST,SA,
18.1818181818,0.4,RMP,ST,SA,
27.2727272727,0.3,RMP,ST,SA,
9.09090909091,0.2,RMP,ST,SA,
27.2727272727,0.1,RMP,ST,SA,
72.7272727273,0.6,RH,ST,SA,
45.4545454545,0.5,RH,ST,SA,
18.1818181818,0.4,RH,ST,SA,
45.4545454545,0.3,RH,ST,SA,
18.1818181818,0.2,RH,ST,SA,
18.1818181818,0.1,RH,ST,SA,
36.3636363636,0.6,IR,DTFS,SA,
45.4545454545,0.5,IR,DTFS,SA,
81.8181818182,0.4,IR,DTFS,SA,
81.8181818182,0.3,IR,DTFS,SA,
54.5454545455,0.2,IR,DTFS,SA,
54.5454545455,0.1,IR,DTFS,SA,
54.5454545455,0.6,RMP,DTFS,SA,
54.5454545455,0.5,RMP,DTFS,SA,
36.3636363636,0.4,RMP,DTFS,SA,
36.3636363636,0.3,RMP,DTFS,SA,
27.2727272727,0.2,RMP,DTFS,SA,
45.4545454545,0.1,RMP,DTFS,SA,
36.3636363636,0.6,RH,DTFS,SA,
27.2727272727,0.5,RH,DTFS,SA,
27.2727272727,0.4,RH,DTFS,SA,
54.5454545455,0.3,RH,DTFS,SA,
63.6363636364,0.2,RH,DTFS,SA,
45.4545454545,0.1,RH,DTFS,SA,
81.8181818182,0.6,ST,DTFS,SA,
81.8181818182,0.5,ST,DTFS,SA,
18.1818181818,0.4,ST,DTFS,SA,
27.2727272727,0.3,ST,DTFS,SA,
45.4545454545,0.2,ST,DTFS,SA,
18.1818181818,0.1,ST,DTFS,SA,
63.6363636364,0.6,IR,RMP,SD,
54.5454545455,0.5,IR,RMP,SD,
54.5454545455,0.4,IR,RMP,SD,
36.3636363636,0.3,IR,RMP,SD,
54.5454545455,0.2,IR,RMP,SD,
45.4545454545,0.1,IR,RMP,SD,
36.3636363636,0.6,IR,RH,SD,
63.6363636364,0.5,IR,RH,SD,
72.7272727273,0.4,IR,RH,SD,
72.7272727273,0.3,IR,RH,SD,
54.5454545455,0.2,IR,RH,SD,
63.6363636364,0.1,IR,RH,SD,
54.5454545455,0.6,RMP,RH,SD,
45.4545454545,0.5,RMP,RH,SD,
45.4545454545,0.4,RMP,RH,SD,
36.3636363636,0.3,RMP,RH,SD,
45.4545454545,0.2,RMP,RH,SD,
63.6363636364,0.1,RMP,RH,SD,
63.6363636364,0.6,IR,ST,SD,
63.6363636364,0.5,IR,ST,SD,
63.6363636364,0.4,IR,ST,SD,
27.2727272727,0.3,IR,ST,SD,
18.1818181818,0.2,IR,ST,SD,
36.3636363636,0.1,IR,ST,SD,
63.6363636364,0.6,RMP,ST,SD,
54.5454545455,0.5,RMP,ST,SD,
63.6363636364,0.4,RMP,ST,SD,
54.5454545455,0.3,RMP,ST,SD,
36.3636363636,0.2,RMP,ST,SD,
36.3636363636,0.1,RMP,ST,SD,
63.6363636364,0.6,RH,ST,SD,
72.7272727273,0.5,RH,ST,SD,
36.3636363636,0.4,RH,ST,SD,
36.3636363636,0.3,RH,ST,SD,
72.7272727273,0.2,RH,ST,SD,
54.5454545455,0.1,RH,ST,SD,
63.6363636364,0.6,IR,DTFS,SD,
27.2727272727,0.5,IR,DTFS,SD,
36.3636363636,0.4,IR,DTFS,SD,
63.6363636364,0.3,IR,DTFS,SD,
36.3636363636,0.2,IR,DTFS,SD,
63.6363636364,0.1,IR,DTFS,SD,
36.3636363636,0.6,RMP,DTFS,SD,
54.5454545455,0.5,RMP,DTFS,SD,
63.6363636364,0.4,RMP,DTFS,SD,
45.4545454545,0.3,RMP,DTFS,SD,
45.4545454545,0.2,RMP,DTFS,SD,
54.5454545455,0.1,RMP,DTFS,SD,
72.7272727273,0.6,RH,DTFS,SD,
27.2727272727,0.5,RH,DTFS,SD,
27.2727272727,0.4,RH,DTFS,SD,
27.2727272727,0.3,RH,DTFS,SD,
27.2727272727,0.2,RH,DTFS,SD,
27.2727272727,0.1,RH,DTFS,SD,
81.8181818182,0.6,ST,DTFS,SD,
81.8181818182,0.5,ST,DTFS,SD,
81.8181818182,0.4,ST,DTFS,SD,
18.1818181818,0.3,ST,DTFS,SD,
9.09090909091,0.2,ST,DTFS,SD,
27.2727272727,0.1,ST,DTFS,SD,
72.7272727273,0.6,IR,SA,SD,
63.6363636364,0.5,IR,SA,SD,
63.6363636364,0.4,IR,SA,SD,
36.3636363636,0.3,IR,SA,SD,
54.5454545455,0.2,IR,SA,SD,
54.5454545455,0.1,IR,SA,SD,
54.5454545455,0.6,RMP,SA,SD,
36.3636363636,0.5,RMP,SA,SD,
54.5454545455,0.4,RMP,SA,SD,
63.6363636364,0.3,RMP,SA,SD,
63.6363636364,0.2,RMP,SA,SD,
27.2727272727,0.1,RMP,SA,SD,
45.4545454545,0.6,RH,SA,SD,
36.3636363636,0.5,RH,SA,SD,
36.3636363636,0.4,RH,SA,SD,
27.2727272727,0.3,RH,SA,SD,
45.4545454545,0.2,RH,SA,SD,
72.7272727273,0.1,RH,SA,SD,
72.7272727273,0.6,ST,SA,SD,
63.6363636364,0.5,ST,SA,SD,
36.3636363636,0.4,ST,SA,SD,
36.3636363636,0.3,ST,SA,SD,
36.3636363636,0.2,ST,SA,SD,
54.5454545455,0.1,ST,SA,SD,
45.4545454545,0.6,DTFS,SA,SD,
27.2727272727,0.5,DTFS,SA,SD,
54.5454545455,0.4,DTFS,SA,SD,
72.7272727273,0.3,DTFS,SA,SD,
36.3636363636,0.2,DTFS,SA,SD,
