MOYENNE;MAX;COMBINAISONS
53,84615385;62,06896552;"IR;RMP;ST;SA;SD;fAHP;"
50,13262599;62,06896552;"IR;RH;ST;SA;SD;fAHP;"
51,45888594;68,96551724;"RMP;RH;ST;SA;SD;fAHP;"
59,41644562;68,96551724;"IR;RMP;DTFS;SA;SD;fAHP;"
57,82493369;72,4137931;"IR;RH;DTFS;SA;SD;fAHP;"
50,66312997;65,51724138;"RMP;RH;DTFS;SA;SD;fAHP;"
58,09018568;72,4137931;"IR;ST;DTFS;SA;SD;fAHP;"
49,60212202;58,62068966;"RMP;ST;DTFS;SA;SD;fAHP;"
51,45888594;62,06896552;"RH;ST;DTFS;SA;SD;fAHP;"
55,70291777;72,4137931;"IR;RMP;RH;ST;DTFS;SA;SD;"
57,02917772;62,06896552;"IR;RMP;RH;ST;DTFS;SA;fAHP;"
52,5198939;58,62068966;"IR;RMP;RH;ST;DTFS;SD;fAHP;"
47,21485411;55,17241379;"IR;RMP;RH;ST;SA;SD;fAHP;"
60,74270557;68,96551724;"IR;RMP;RH;DTFS;SA;SD;fAHP;"
57,5596817;68,96551724;"IR;RMP;ST;DTFS;SA;SD;fAHP;"
59,41644562;68,96551724;"IR;RH;ST;DTFS;SA;SD;fAHP;"
