50.5747126437,0.5,RH,DTFS,SA,
49.4252873563,0.4,RH,DTFS,SA,
56.3218390805,0.3,RH,DTFS,SA,
51.724137931,0.2,RH,DTFS,SA,
44.8275862069,0.1,RH,DTFS,SA,
47.1264367816,0.5,ST,DTFS,SA,
47.1264367816,0.4,ST,DTFS,SA,
47.1264367816,0.3,ST,DTFS,SA,
50.5747126437,0.2,ST,DTFS,SA,
48.275862069,0.1,ST,DTFS,SA,
54.0229885057,0.5,IR,RMP,SD,
59.7701149425,0.4,IR,RMP,SD,
54.0229885057,0.3,IR,RMP,SD,
42.5287356322,0.2,IR,RMP,SD,
59.7701149425,0.1,IR,RMP,SD,
60.9195402299,0.5,IR,RH,SD,
51.724137931,0.4,IR,RH,SD,
41.3793103448,0.3,IR,RH,SD,
49.4252873563,0.2,IR,RH,SD,
41.3793103448,0.1,IR,RH,SD,
39.0804597701,0.5,RMP,RH,SD,
37.9310344828,0.4,RMP,RH,SD,
50.5747126437,0.3,RMP,RH,SD,
51.724137931,0.2,RMP,RH,SD,
57.4712643678,0.1,RMP,RH,SD,
72.4137931034,0.5,IR,ST,SD,
71.2643678161,0.4,IR,ST,SD,
66.6666666667,0.3,IR,ST,SD,
48.275862069,0.2,IR,ST,SD,
29.8850574713,0.1,IR,ST,SD,
51.724137931,0.5,RMP,ST,SD,
51.724137931,0.4,RMP,ST,SD,
45.9770114943,0.3,RMP,ST,SD,
62.0689655172,0.2,RMP,ST,SD,
60.9195402299,0.1,RMP,ST,SD,
60.9195402299,0.5,RH,ST,SD,
52.8735632184,0.4,RH,ST,SD,
44.8275862069,0.3,RH,ST,SD,
43.6781609195,0.2,RH,ST,SD,
55.1724137931,0.1,RH,ST,SD,
39.0804597701,0.5,IR,DTFS,SD,
37.9310344828,0.4,IR,DTFS,SD,
40.2298850575,0.3,IR,DTFS,SD,
48.275862069,0.2,IR,DTFS,SD,
55.1724137931,0.1,IR,DTFS,SD,
52.8735632184,0.5,RMP,DTFS,SD,
48.275862069,0.4,RMP,DTFS,SD,
32.183908046,0.3,RMP,DTFS,SD,
50.5747126437,0.2,RMP,DTFS,SD,
43.6781609195,0.1,RMP,DTFS,SD,
45.9770114943,0.5,RH,DTFS,SD,
62.0689655172,0.4,RH,DTFS,SD,
63.2183908046,0.3,RH,DTFS,SD,
65.5172413793,0.2,RH,DTFS,SD,
65.5172413793,0.1,RH,DTFS,SD,
50.5747126437,0.5,ST,DTFS,SD,
47.1264367816,0.4,ST,DTFS,SD,
47.1264367816,0.3,ST,DTFS,SD,
45.9770114943,0.2,ST,DTFS,SD,
49.4252873563,0.1,ST,DTFS,SD,
59.7701149425,0.5,IR,SA,SD,
45.9770114943,0.4,IR,SA,SD,
52.8735632184,0.3,IR,SA,SD,
43.6781609195,0.2,IR,SA,SD,
52.8735632184,0.1,IR,SA,SD,
57.4712643678,0.5,RMP,SA,SD,
55.1724137931,0.4,RMP,SA,SD,
47.1264367816,0.3,RMP,SA,SD,
59.7701149425,0.2,RMP,SA,SD,
39.0804597701,0.1,RMP,SA,SD,
44.8275862069,0.5,RH,SA,SD,
42.5287356322,0.4,RH,SA,SD,
40.2298850575,0.3,RH,SA,SD,
41.3793103448,0.2,RH,SA,SD,
39.0804597701,0.1,RH,SA,SD,
52.8735632184,0.5,ST,SA,SD,
54.0229885057,0.4,ST,SA,SD,
54.0229885057,0.3,ST,SA,SD,
56.3218390805,0.2,ST,SA,SD,
45.9770114943,0.1,ST,SA,SD,
55.1724137931,0.5,DTFS,SA,SD,
52.8735632184,0.4,DTFS,SA,SD,
54.0229885057,0.3,DTFS,SA,SD,
49.4252873563,0.2,DTFS,SA,SD,
50.5747126437,0.1,DTFS,SA,SD,
55.1724137931,0.5,IR,RMP,fAHP,
56.3218390805,0.4,IR,RMP,fAHP,
54.0229885057,0.3,IR,RMP,fAHP,
49.4252873563,0.2,IR,RMP,fAHP,
47.1264367816,0.1,IR,RMP,fAHP,
44.8275862069,0.5,IR,RH,fAHP,
44.8275862069,0.4,IR,RH,fAHP,
52.8735632184,0.3,IR,RH,fAHP,
51.724137931,0.2,IR,RH,fAHP,
48.275862069,0.1,IR,RH,fAHP,
43.6781609195,0.5,RMP,RH,fAHP,
47.1264367816,0.4,RMP,RH,fAHP,
43.6781609195,0.3,RMP,RH,fAHP,
42.5287356322,0.2,RMP,RH,fAHP,
51.724137931,0.1,RMP,RH,fAHP,
48.275862069,0.5,IR,ST,fAHP,
42.5287356322,0.4,IR,ST,fAHP,
47.1264367816,0.3,IR,ST,fAHP,
49.4252873563,0.2,IR,ST,fAHP,
45.9770114943,0.1,IR,ST,fAHP,
45.9770114943,0.5,RMP,ST,fAHP,
41.3793103448,0.4,RMP,ST,fAHP,
57.4712643678,0.3,RMP,ST,fAHP,
55.1724137931,0.2,RMP,ST,fAHP,
50.5747126437,0.1,RMP,ST,fAHP,
48.275862069,0.5,RH,ST,fAHP,
56.3218390805,0.4,RH,ST,fAHP,
54.0229885057,0.3,RH,ST,fAHP,
55.1724137931,0.2,RH,ST,fAHP,
52.8735632184,0.1,RH,ST,fAHP,
51.724137931,0.5,IR,DTFS,fAHP,
49.4252873563,0.4,IR,DTFS,fAHP,
45.9770114943,0.3,IR,DTFS,fAHP,
50.5747126437,0.2,IR,DTFS,fAHP,
41.3793103448,0.1,IR,DTFS,fAHP,
40.2298850575,0.5,RMP,DTFS,fAHP,
49.4252873563,0.4,RMP,DTFS,fAHP,
57.4712643678,0.3,RMP,DTFS,fAHP,
47.1264367816,0.2,RMP,DTFS,fAHP,
59.7701149425,0.1,RMP,DTFS,fAHP,
48.275862069,0.5,RH,DTFS,fAHP,
45.9770114943,0.4,RH,DTFS,fAHP,
48.275862069,0.3,RH,DTFS,fAHP,
50.5747126437,0.2,RH,DTFS,fAHP,
43.6781609195,0.1,RH,DTFS,fAHP,
57.4712643678,0.5,ST,DTFS,fAHP,
54.0229885057,0.4,ST,DTFS,fAHP,
58.6206896552,0.3,ST,DTFS,fAHP,
47.1264367816,0.2,ST,DTFS,fAHP,
47.1264367816,0.1,ST,DTFS,fAHP,
60.9195402299,0.5,IR,SA,fAHP,
57.4712643678,0.4,IR,SA,fAHP,
55.1724137931,0.3,IR,SA,fAHP,
58.6206896552,0.2,IR,SA,fAHP,
57.4712643678,0.1,IR,SA,fAHP,
51.724137931,0.5,RMP,SA,fAHP,
49.4252873563,0.4,RMP,SA,fAHP,
47.1264367816,0.3,RMP,SA,fAHP,
54.0229885057,0.2,RMP,SA,fAHP,
51.724137931,0.1,RMP,SA,fAHP,
50.5747126437,0.5,RH,SA,fAHP,
49.4252873563,0.4,RH,SA,fAHP,
45.9770114943,0.3,RH,SA,fAHP,
52.8735632184,0.2,RH,SA,fAHP,
48.275862069,0.1,RH,SA,fAHP,
57.4712643678,0.5,ST,SA,fAHP,
39.0804597701,0.4,ST,SA,fAHP,
48.275862069,0.3,ST,SA,fAHP,
55.1724137931,0.2,ST,SA,fAHP,
47.1264367816,0.1,ST,SA,fAHP,
55.1724137931,0.5,DTFS,SA,fAHP,
51.724137931,0.4,DTFS,SA,fAHP,
54.0229885057,0.3,DTFS,SA,fAHP,
52.8735632184,0.2,DTFS,SA,fAHP,
47.1264367816,0.1,DTFS,SA,fAHP,
62.0689655172,0.5,IR,SD,fAHP,
36.7816091954,0.4,IR,SD,fAHP,
43.6781609195,0.3,IR,SD,fAHP,
43.6781609195,0.2,IR,SD,fAHP,
39.0804597701,0.1,IR,SD,fAHP,
52.8735632184,0.5,RMP,SD,fAHP,
49.4252873563,0.4,RMP,SD,fAHP,
42.5287356322,0.3,RMP,SD,fAHP,
50.5747126437,0.2,RMP,SD,fAHP,
50.5747126437,0.1,RMP,SD,fAHP,
51.724137931,0.5,RH,SD,fAHP,
54.0229885057,0.4,RH,SD,fAHP,
45.9770114943,0.3,RH,SD,fAHP,
45.9770114943,0.2,RH,SD,fAHP,
47.1264367816,0.1,RH,SD,fAHP,
44.8275862069,0.5,ST,SD,fAHP,
44.8275862069,0.4,ST,SD,fAHP,
43.6781609195,0.3,ST,SD,fAHP,
55.1724137931,0.2,ST,SD,fAHP,
40.2298850575,0.1,ST,SD,fAHP,
51.724137931,0.5,DTFS,SD,fAHP,
51.724137931,0.4,DTFS,SD,fAHP,
48.275862069,0.3,DTFS,SD,fAHP,
63.2183908046,0.2,DTFS,SD,fAHP,
62.0689655172,0.1,DTFS,SD,fAHP,
51.724137931,0.5,SA,SD,fAHP,
50.5747126437,0.4,SA,SD,fAHP,
51.724137931,0.3,SA,SD,fAHP,
52.8735632184,0.2,SA,SD,fAHP,
45.9770114943,0.1,SA,SD,fAHP,
58.6206896552,0.5,IR,RMP,RH,ST,
50.5747126437,0.4,IR,RMP,RH,ST,
49.4252873563,0.3,IR,RMP,RH,ST,
50.5747126437,0.2,IR,RMP,RH,ST,
40.2298850575,0.1,IR,RMP,RH,ST,
56.3218390805,0.5,IR,RMP,RH,DTFS,
52.8735632184,0.4,IR,RMP,RH,DTFS,
47.1264367816,0.3,IR,RMP,RH,DTFS,
43.6781609195,0.2,IR,RMP,RH,DTFS,
41.3793103448,0.1,IR,RMP,RH,DTFS,
57.4712643678,0.5,IR,RMP,ST,DTFS,
43.6781609195,0.4,IR,RMP,ST,DTFS,
49.4252873563,0.3,IR,RMP,ST,DTFS,
55.1724137931,0.2,IR,RMP,ST,DTFS,
36.7816091954,0.1,IR,RMP,ST,DTFS,
55.1724137931,0.5,IR,RH,ST,DTFS,
57.4712643678,0.4,IR,RH,ST,DTFS,
56.3218390805,0.3,IR,RH,ST,DTFS,
65.5172413793,0.2,IR,RH,ST,DTFS,
41.3793103448,0.1,IR,RH,ST,DTFS,
52.8735632184,0.5,RMP,RH,ST,DTFS,
48.275862069,0.4,RMP,RH,ST,DTFS,
47.1264367816,0.3,RMP,RH,ST,DTFS,
48.275862069,0.2,RMP,RH,ST,DTFS,
45.9770114943,0.1,RMP,RH,ST,DTFS,
55.1724137931,0.5,IR,RMP,RH,SA,
45.9770114943,0.4,IR,RMP,RH,SA,
40.2298850575,0.3,IR,RMP,RH,SA,
44.8275862069,0.2,IR,RMP,RH,SA,
52.8735632184,0.1,IR,RMP,RH,SA,
49.4252873563,0.5,IR,RMP,ST,SA,
50.5747126437,0.4,IR,RMP,ST,SA,
50.5747126437,0.3,IR,RMP,ST,SA,
44.8275862069,0.2,IR,RMP,ST,SA,
45.9770114943,0.1,IR,RMP,ST,SA,
47.1264367816,0.5,IR,RH,ST,SA,
42.5287356322,0.4,IR,RH,ST,SA,
56.3218390805,0.3,IR,RH,ST,SA,
51.724137931,0.2,IR,RH,ST,SA,
50.5747126437,0.1,IR,RH,ST,SA,
45.9770114943,0.5,RMP,RH,ST,SA,
45.9770114943,0.4,RMP,RH,ST,SA,
43.6781609195,0.3,RMP,RH,ST,SA,
56.3218390805,0.2,RMP,RH,ST,SA,
44.8275862069,0.1,RMP,RH,ST,SA,
48.275862069,0.5,IR,RMP,DTFS,SA,
47.1264367816,0.4,IR,RMP,DTFS,SA,
54.0229885057,0.3,IR,RMP,DTFS,SA,
59.7701149425,0.2,IR,RMP,DTFS,SA,
49.4252873563,0.1,IR,RMP,DTFS,SA,
54.0229885057,0.5,IR,RH,DTFS,SA,
52.8735632184,0.4,IR,RH,DTFS,SA,
48.275862069,0.3,IR,RH,DTFS,SA,
52.8735632184,0.2,IR,RH,DTFS,SA,
47.1264367816,0.1,IR,RH,DTFS,SA,
52.8735632184,0.5,RMP,RH,DTFS,SA,
50.5747126437,0.4,RMP,RH,DTFS,SA,
56.3218390805,0.3,RMP,RH,DTFS,SA,
55.1724137931,0.2,RMP,RH,DTFS,SA,
49.4252873563,0.1,RMP,RH,DTFS,SA,
51.724137931,0.5,IR,ST,DTFS,SA,
39.0804597701,0.4,IR,ST,DTFS,SA,
41.3793103448,0.3,IR,ST,DTFS,SA,
41.3793103448,0.2,IR,ST,DTFS,SA,
47.1264367816,0.1,IR,ST,DTFS,SA,
47.1264367816,0.5,RMP,ST,DTFS,SA,
59.7701149425,0.4,RMP,ST,DTFS,SA,
52.8735632184,0.3,RMP,ST,DTFS,SA,
45.9770114943,0.2,RMP,ST,DTFS,SA,
47.1264367816,0.1,RMP,ST,DTFS,SA,
55.1724137931,0.5,RH,ST,DTFS,SA,
43.6781609195,0.4,RH,ST,DTFS,SA,
43.6781609195,0.3,RH,ST,DTFS,SA,
55.1724137931,0.2,RH,ST,DTFS,SA,
57.4712643678,0.1,RH,ST,DTFS,SA,
57.4712643678,0.5,IR,RMP,RH,SD,
37.9310344828,0.4,IR,RMP,RH,SD,
39.0804597701,0.3,IR,RMP,RH,SD,
42.5287356322,0.2,IR,RMP,RH,SD,
52.8735632184,0.1,IR,RMP,RH,SD,
50.5747126437,0.5,IR,RMP,ST,SD,
35.632183908,0.4,IR,RMP,ST,SD,
36.7816091954,0.3,IR,RMP,ST,SD,
37.9310344828,0.2,IR,RMP,ST,SD,
33.3333333333,0.1,IR,RMP,ST,SD,
56.3218390805,0.5,IR,RH,ST,SD,
55.1724137931,0.4,IR,RH,ST,SD,
58.6206896552,0.3,IR,RH,ST,SD,
37.9310344828,0.2,IR,RH,ST,SD,
43.6781609195,0.1,IR,RH,ST,SD,
58.6206896552,0.5,RMP,RH,ST,SD,
55.1724137931,0.4,RMP,RH,ST,SD,
41.3793103448,0.3,RMP,RH,ST,SD,
41.3793103448,0.2,RMP,RH,ST,SD,
37.9310344828,0.1,RMP,RH,ST,SD,
60.9195402299,0.5,IR,RMP,DTFS,SD,
43.6781609195,0.4,IR,RMP,DTFS,SD,
35.632183908,0.3,IR,RMP,DTFS,SD,
35.632183908,0.2,IR,RMP,DTFS,SD,
60.9195402299,0.1,IR,RMP,DTFS,SD,
54.0229885057,0.5,IR,RH,DTFS,SD,
52.8735632184,0.4,IR,RH,DTFS,SD,
35.632183908,0.3,IR,RH,DTFS,SD,
45.9770114943,0.2,IR,RH,DTFS,SD,
50.5747126437,0.1,IR,RH,DTFS,SD,
41.3793103448,0.5,RMP,RH,DTFS,SD,
42.5287356322,0.4,RMP,RH,DTFS,SD,
43.6781609195,0.3,RMP,RH,DTFS,SD,
44.8275862069,0.2,RMP,RH,DTFS,SD,
49.4252873563,0.1,RMP,RH,DTFS,SD,
58.6206896552,0.5,IR,ST,DTFS,SD,
52.8735632184,0.4,IR,ST,DTFS,SD,
52.8735632184,0.3,IR,ST,DTFS,SD,
40.2298850575,0.2,IR,ST,DTFS,SD,
50.5747126437,0.1,IR,ST,DTFS,SD,
70.1149425287,0.5,RMP,ST,DTFS,SD,
68.9655172414,0.4,RMP,ST,DTFS,SD,
37.9310344828,0.3,RMP,ST,DTFS,SD,
32.183908046,0.2,RMP,ST,DTFS,SD,
47.1264367816,0.1,RMP,ST,DTFS,SD,
65.5172413793,0.5,RH,ST,DTFS,SD,
47.1264367816,0.4,RH,ST,DTFS,SD,
41.3793103448,0.3,RH,ST,DTFS,SD,
48.275862069,0.2,RH,ST,DTFS,SD,
52.8735632184,0.1,RH,ST,DTFS,SD,
